"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
"Межбюджетные трансферты, передаваемые бюджетам для компенсации дополнительных расходов, возникших в результате решений, принятых органами власти другого уровня",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Субвенции от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Доходы от  приносящей доход деятельности,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Всего,9099,41519,47365,31770,55196,60630,33130,14642,14305,16555,20305,Измайлово
Общегосударственные вопросы,6651,"20324,7",23131,24889,NA,NA,21058,12396,12349,13025,16038,Измайлово
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
расходы на содержание работников органов местного самоуправления,NA,"13668,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",6485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Национальная безопасность и правоохранительная деятельность,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Национальная экономика,NA,NA,85,534,NA,NA,1556,1246,NA,1165,1095,Измайлово
Другие вопросы в области национальной экономики,NA,NA,NA,NA,NA,NA,1556,1246,NA,1165,1095,Измайлово
Образование,NA,"12258,6",12722,1397,NA,NA,5811,NA,NA,NA,NA,Измайлово
"Культура, кинематография и средства массовой информации",1443,"2335,9",1124,1624,NA,NA,NA,NA,NA,NA,NA,Измайлово
Культура,NA,"1736,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
"Культура, кинематография",NA,NA,NA,NA,NA,NA,239,1000,1400,1873,2112,Измайлово
"Здравоохранение, физическая культура и спорт",NA,"6599,8",8802,3324,NA,NA,NA,NA,NA,NA,NA,Измайлово
Физическая культура и спорт,NA,"6599,8",NA,NA,NA,NA,4466,NA,NA,NA,NA,Измайлово
Социальная политика,915,NA,NA,NA,NA,NA,NA,NA,531,NA,531,Измайлово
Межбюджетные трансферты,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Из межбюджетных трансфертов дотации бюджетам субъектов Российской Федерации и муниципальных образований,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,Измайлово
Межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,25,492,529,Измайлово
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Косино-Ухтомский
